﻿Name,OwnerId,OwnerName,ThreatLevel,ThreatHighest,ThreatTotal,Population,X,Y,FoundedTurn,CurrentProduction,ProductionValue,DefendersRequested,WorkersHave,WorkersNeeded
"Kyoto",0,"",308,560,868,1,58,52,0,"",0,0,0,0
"Osaka",0,"Empire japonais",560,560,868,1,63,49,1183,"",0,0,0,0
"Berlin",1,"Empire germanique",198,614,4680,1,69,22,0,"",0,0,0,0
"Brême",1,"Empire germanique",598,614,4680,1,67,28,1091,"",0,0,0,0
"Cologne",1,"Empire germanique",421,614,4680,1,64,23,681,"",0,0,0,0
"Dortmund",1,"Empire germanique",229,614,4680,1,73,13,866,"",0,0,0,0
"Duisbourg",1,"Empire germanique",594,614,4680,1,73,6,1176,"",0,0,0,0
"Düsseldorf",1,"Empire germanique",390,614,4680,1,72,30,1067,"",0,0,0,0
"Essen",1,"Empire germanique",469,614,4680,1,58,17,865,"",0,0,0,0
"Francfort",1,"Empire germanique",407,614,4680,1,68,17,746,"",0,0,0,0
"Hambourg",1,"Empire germanique",172,614,4680,1,74,25,597,"",0,0,0,0
"Hanovre",1,"Empire germanique",614,614,4680,1,68,10,1136,"",0,0,0,0
"Munich",1,"Empire germanique",351,614,4680,1,63,18,618,"",0,0,0,0
"Stuttgart",1,"Empire germanique",237,614,4680,1,74,20,946,"",0,0,0,0
"Argos",2,"Empire grec",623,739,3342,1,27,30,812,"",0,0,0,0
"Athènes",2,"Empire grec",159,739,3342,1,13,26,5,"",0,0,0,0
"Cnossos",2,"Empire grec",381,739,3342,1,16,36,860,"",0,0,0,0
"Corinthe",2,"Empire grec",188,739,3342,1,18,25,712,"",0,0,0,0
"Delphes",2,"Empire grec",319,739,3342,1,16,31,848,"",0,0,0,0
"Mycènes",2,"Empire grec",294,739,3342,1,21,20,1011,"",0,0,0,0
"Pharsale",2,"Empire grec",432,739,3342,1,11,37,1149,"",0,0,0,0
"Sparte",2,"Empire grec",207,739,3342,1,11,32,615,"",0,0,0,0
"Thèbes",2,"Empire grec",739,739,3342,1,23,25,782,"",0,0,0,0
"Gewauga",3,"Empire iroquois",590,720,3561,1,53,14,992,"",0,0,0,0
"Nowadaga",3,"Empire iroquois",616,720,3561,1,58,10,963,"",0,0,0,0
"Oneida",3,"Empire iroquois",286,720,3561,1,55,5,938,"",0,0,0,0
"Onoalagona",3,"Empire iroquois",720,720,3561,1,45,10,1026,"",0,0,0,0
"Onondaga",3,"Empire iroquois",226,720,3561,1,50,4,1,"",0,0,0,0
"Schaunactada",3,"Empire iroquois",417,720,3561,1,66,5,1053,"",0,0,0,0
"Teatontaloga",3,"Empire iroquois",288,720,3561,1,60,5,1028,"",0,0,0,0
"Tiohero",3,"Empire iroquois",418,720,3561,1,50,9,912,"",0,0,0,0
"Aden",4,"Empire arabe",653,775,4623,1,29,46,857,"",0,0,0,0
"al-Yamama",4,"Empire arabe",719,719,2285,1,28,41,961,"",0,0,0,0
"Anbar",4,"Empire arabe",676,775,4623,1,36,48,1163,"",0,0,0,0
"Dhamar",4,"Empire arabe",302,775,4623,1,23,51,764,"",0,0,0,0
"Médine",4,"Empire arabe",267,775,4623,1,18,45,620,"",0,0,0,0
"Muscat",4,"Empire arabe",775,775,4623,1,28,41,1007,"",0,0,0,0
"Najran",4,"Empire arabe",650,775,4623,1,22,39,1052,"",0,0,0,0
"Ta'if",4,"Empire arabe",150,775,4623,1,12,53,972,"",0,0,0,0
"Zabid",4,"Empire arabe",501,775,4623,1,23,45,992,"",0,0,0,0
"Babylone",5,"Empire babylonien",581,831,3745,1,44,26,0,"",0,0,0,0
"Barsip",5,"Empire babylonien",672,986,4396,1,48,31,681,"",0,0,0,0
"Kazallu",5,"Empire babylonien",933,986,4396,1,46,21,654,"",0,0,0,0
"Kissatu",5,"Empire babylonien",986,986,4396,1,43,31,803,"",0,0,0,0
"Nippur",5,"Empire babylonien",600,986,4396,1,47,15,948,"",0,0,0,0
"Sippar",5,"Empire babylonien",721,986,4396,1,41,21,717,"",0,0,0,0
"Uruk",5,"Empire babylonien",484,986,4396,1,42,16,831,"",0,0,0,0
"Aïnous",50,"Barbares PNJ",0,0,0,1,54,29,1151,"",0,0,0,0
"Angles",50,"Barbares PNJ",0,0,0,1,20,14,1004,"",0,0,0,0
"Bantous",50,"Barbares PNJ",0,0,0,1,27,7,4,"",0,0,0,0
"Chaise",50,"Barbares PNJ",0,0,0,1,12,48,491,"",0,0,0,0
"Ehh",50,"Barbares PNJ",0,0,0,1,53,34,907,"",0,0,0,0
"Goths",50,"Barbares PNJ",0,0,0,1,34,9,1014,"",0,0,0,0
"Krapina",50,"Barbares PNJ",0,0,0,1,63,42,716,"",0,0,0,0
"Kro",50,"Barbares PNJ",0,0,0,1,37,16,1118,"",0,0,0,0
"Kulna",50,"Barbares PNJ",0,0,0,1,28,36,202,"",0,0,0,0
"Lezetxiki",50,"Barbares PNJ",0,0,0,1,62,28,252,"",0,0,0,0
"Nubiens",50,"Barbares PNJ",0,0,0,1,35,43,898,"",0,0,0,0
"Ord",50,"Barbares PNJ",0,0,0,1,42,51,21,"",0,0,0,0
"Scladina",50,"Barbares PNJ",0,0,0,1,40,10,1052,"",0,0,0,0
"Sipka",50,"Barbares PNJ",0,0,0,1,39,36,1077,"",0,0,0,0
"Suranda",50,"Barbares PNJ",0,0,0,1,51,45,1170,"",0,0,0,0
"Zafarraya",50,"Barbares PNJ",0,0,0,1,44,5,395,"",0,0,0,0
"Zga",50,"Barbares PNJ",0,0,0,1,52,19,51,"",0,0,0,0
